timestep	potential_energy	temperature
0	131.0357067	0
100	29.37396835	6.170214559
200	48.75069382	3.488698273
300	51.92103981	1.530086717
400	29.78833205	2.259214417
500	25.77999087	1.691890599
600	15.29891249	1.960976427
700	17.38846573	1.325498731
800	12.14313448	1.275657473
900	15.01670607	0.8341375047
1000	13.00290911	0.6787947162
1100	8.140005361	0.7850089765
1200	9.74740553	0.4546168436
1300	6.600499149	0.5267500152
1400	4.12762134	0.5143109639
1500	4.471377582	0.2823141591
1600	3.208235888	0.3643103996
1700	3.403321489	0.2862607255
1800	2.684966893	0.2567892192
1900	2.406439428	0.351325695
2000	2.748934106	0.1569254347
2100	3.352108406	0.1140314857
2200	2.95707717	0.2007761969
2300	4.33748882	0.1322359939
2400	2.811852714	0.2457627235
2500	2.378661203	0.2513217791
2600	3.097370062	0.2521374821
2700	3.58075351	0.2282834202
2800	2.790583975	0.3056314437
2900	2.322938874	0.2001666599
3000	1.940868931	0.1786205002
3100	2.491759122	0.160445164
3200	1.802941406	0.1606593217
3300	2.21214639	0.1622689888
3400	1.551187886	0.2347439942
3500	2.436571724	0.1949556384
3600	2.194768046	0.2016747721
3700	3.004429205	0.1856463136
3800	2.232557124	0.198018032
3900	1.860613256	0.1859640321
4000	2.413646413	0.1954688539
4100	2.039889824	0.188273013
4200	1.146920639	0.2037604184
4300	1.99181303	0.1578566626
4400	1.885234223	0.2089352885
4500	1.792983549	0.2040256662
4600	2.552677312	0.1686660678
4700	1.786574985	0.2769599634
4800	3.005674948	0.3326338318
4900	2.997152238	0.2836596841
5000	3.021984468	0.2578712976
5100	3.059986983	0.2417769052
5200	2.847681089	0.1980745399
5300	2.186368269	0.2006076429
5400	2.087809176	0.1640839092
5500	2.29037467	0.1550963739
5600	2.752523884	0.168778117
5700	3.637504451	0.1071458015
5800	3.048349916	0.2102173191
5900	2.17658941	0.2566341379
6000	2.081589735	0.2536726252
6100	1.724406245	0.2366679299
6200	1.966710352	0.2178254024
6300	2.343414169	0.1877925136
6400	1.95225336	0.214542479
6500	2.293500097	0.2641727603
6600	2.634653319	0.2552152401
6700	3.626470682	0.1736419672
6800	2.292281798	0.201314135
6900	2.004274037	0.228829008
7000	2.577335169	0.23222434
7100	2.239111481	0.2645035882
7200	3.02517505	0.2140046894
7300	4.855362943	0.09393286064
7400	2.063453167	0.2541762109
7500	3.129231627	0.2079669624
7600	3.794224549	0.139432554
7700	3.153339151	0.1748918552
